,price,city,kms_driven,owner,age,power,brand
15805,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
15806,32000.0,Delhi,12000,First Owner,6,100.0,Hero
15807,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
15808,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
15809,39000.0,Delhi,22000,First Owner,4,100.0,Hero
15810,30000.0,Karnal,6639,First Owner,9,180.0,TVS
15811,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
15812,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
15813,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
15814,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
15815,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
15816,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
15817,11900.0,Noida,34968,First Owner,14,150.0,Hero
15818,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
15819,18000.0,Hyderabad,3869,First Owner,16,100.0,Hero
15820,48000.0,Allahabad,41939,First Owner,8,200.0,Bajaj
15821,50000.0,Bangalore,29134,First Owner,7,220.0,Bajaj
15822,25000.0,Delhi,48587,First Owner,8,150.0,Hero
15823,70000.0,Mumbai,8000,First Owner,5,220.0,Bajaj
15824,87000.0,Pune,140,First Owner,3,160.0,Honda
15825,10000.0,Ghaziabad,64955,First Owner,15,150.0,Bajaj
15826,25000.0,Delhi,65000,First Owner,12,150.0,Yamaha
15827,18000.0,Chennai,22824,First Owner,8,100.0,Hero
15828,14227.0,Bhopal,36000,First Owner,15,150.0,Bajaj
15829,35000.0,Bangalore,60000,First Owner,9,220.0,Bajaj
15830,450000.0,Jodhpur,3430,First Owner,4,750.0,Harley-Davidson
15831,139000.0,Hyderabad,21300,First Owner,4,400.0,Bajaj
15832,80000.0,Hyderabad,7127,First Owner,5,220.0,Bajaj
15833,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
15834,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
15835,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
15836,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
